,date,close,diff,open,high,low,volume
7013,2013-12-17,1395000,5000,1417000,1417000,1393000,155248
7014,2013-12-16,1400000,10000,1391000,1404000,1383000,179088
7015,2013-12-13,1390000,20000,1410000,1411000,1390000,201065
7016,2013-12-12,1410000,10000,1396000,1410000,1396000,299241
7017,2013-12-11,1420000,20000,1426000,1444000,1416000,212583
7018,2013-12-10,1440000,14000,1441000,1451000,1431000,155112
7019,2013-12-09,1454000,26000,1440000,1454000,1440000,139938
7000,2013-12-06,1428000,12000,1454000,1454000,1428000,182949
7001,2013-12-05,1440000,8000,1433000,1446000,1422000,209593
7002,2013-12-04,1432000,29000,1450000,1453000,1431000,216880
7003,2013-12-03,1461000,6000,1464000,1478000,1457000,155972
7004,2013-12-02,1467000,27000,1500000,1503000,1467000,149756
7005,2013-11-29,1494000,0,1499000,1499000,1485000,135044
7006,2013-11-28,1494000,24000,1480000,1494000,1479000,212898
7007,2013-11-27,1470000,9000,1467000,1476000,1460000,187034
7008,2013-11-26,1479000,14000,1458000,1479000,1455000,171725
7009,2013-11-25,1465000,15000,1451000,1472000,1451000,132306
6990,2013-11-22,1450000,10000,1441000,1456000,1431000,171492
6991,2013-11-21,1440000,30000,1472000,1472000,1432000,180396
6992,2013-11-20,1470000,19000,1473000,1487000,1464000,163563
6993,2013-11-19,1489000,15000,1483000,1489000,1477000,163671
6994,2013-11-18,1474000,12000,1470000,1476000,1465000,127736
6995,2013-11-15,1462000,38000,1434000,1462000,1432000,166785
6996,2013-11-14,1424000,5000,1455000,1455000,1424000,202643
6997,2013-11-13,1419000,37000,1445000,1449000,1419000,199904
6998,2013-11-12,1456000,28000,1440000,1466000,1436000,195698
6999,2013-11-11,1428000,18000,1425000,1434000,1409000,171277
6980,2013-11-08,1410000,27000,1411000,1428000,1407000,273627
6981,2013-11-07,1437000,14000,1451000,1454000,1425000,260136
6982,2013-11-06,1451000,34000,1498000,1498000,1449000,244368
6983,2013-11-05,1485000,14000,1502000,1502000,1472000,160186
6984,2013-11-04,1499000,1000,1492000,1502000,1489000,217756
6985,2013-11-01,1500000,35000,1490000,1500000,1468000,227154
6986,2013-10-31,1465000,35000,1498000,1502000,1465000,252941
6987,2013-10-30,1500000,10000,1485000,1500000,1484000,211768
6988,2013-10-29,1490000,8000,1490000,1490000,1478000,206698
6989,2013-10-28,1482000,33000,1465000,1485000,1458000,226154
6970,2013-10-25,1449000,0,1450000,1452000,1433000,134706
6971,2013-10-24,1449000,7000,1431000,1449000,1429000,178313
6972,2013-10-23,1442000,13000,1464000,1464000,1436000,171969
6973,2013-10-22,1455000,9000,1460000,1460000,1434000,247065
6974,2013-10-21,1464000,8000,1475000,1489000,1454000,142521
6975,2013-10-18,1472000,9000,1472000,1475000,1463000,157043
6976,2013-10-17,1463000,13000,1460000,1468000,1454000,181987
6977,2013-10-16,1450000,7000,1469000,1469000,1445000,160212
6978,2013-10-15,1457000,19000,1450000,1457000,1445000,200473
6979,2013-10-14,1438000,5000,1448000,1449000,1438000,147474
6960,2013-10-11,1443000,13000,1440000,1447000,1436000,225083
6961,2013-10-10,1430000,0,1421000,1432000,1421000,276380
6962,2013-10-08,1430000,6000,1417000,1433000,1417000,210920
6963,2013-10-07,1436000,18000,1437000,1437000,1425000,204565
6964,2013-10-04,1418000,0,1438000,1442000,1414000,315074
6965,2013-10-02,1418000,36000,1398000,1425000,1390000,351727
6966,2013-10-01,1382000,15000,1380000,1383000,1360000,195463
6967,2013-09-30,1367000,1000,1366000,1382000,1360000,233018
6968,2013-09-27,1366000,6000,1375000,1377000,1363000,232265
6969,2013-09-26,1372000,8000,1364000,1372000,1356000,207494
6950,2013-09-25,1364000,9000,1367000,1374000,1351000,223529
6951,2013-09-24,1373000,13000,1342000,1379000,1338000,302778
6952,2013-09-23,1360000,26000,1365000,1381000,1353000,487258
6953,2013-09-17,1386000,39000,1420000,1420000,1381000,343627
6954,2013-09-16,1425000,19000,1423000,1425000,1411000,234214
6955,2013-09-13,1406000,4000,1409000,1410000,1396000,245630
6956,2013-09-12,1410000,8000,1405000,1424000,1395000,436108
6957,2013-09-11,1402000,6000,1398000,1402000,1385000,267060
6958,2013-09-10,1396000,23000,1369000,1396000,1368000,294353
6959,2013-09-09,1373000,4000,1371000,1375000,1363000,185831
6940,2013-09-06,1369000,4000,1370000,1375000,1358000,238759
6941,2013-09-05,1365000,25000,1370000,1371000,1358000,302002
6942,2013-09-04,1340000,3000,1330000,1354000,1321000,218401
6943,2013-09-03,1337000,14000,1364000,1364000,1326000,235970
6944,2013-09-02,1351000,17000,1368000,1371000,1350000,201632
6945,2013-08-30,1368000,24000,1360000,1368000,1351000,342716
6946,2013-08-29,1344000,35000,1317000,1348000,1314000,326300
6947,2013-08-28,1309000,5000,1284000,1310000,1284000,189851
6948,2013-08-27,1304000,4000,1307000,1309000,1295000,182616
6949,2013-08-26,1300000,5000,1301000,1305000,1296000,230393
6930,2013-08-23,1295000,40000,1280000,1300000,1271000,344068
6931,2013-08-22,1255000,1000,1250000,1267000,1245000,239697
6932,2013-08-21,1256000,13000,1265000,1282000,1256000,246921
6933,2013-08-20,1269000,17000,1296000,1305000,1269000,284619
6934,2013-08-19,1286000,9000,1286000,1296000,1280000,129997
6935,2013-08-16,1295000,5000,1286000,1301000,1282000,228332
6936,2013-08-14,1300000,10000,1289000,1300000,1285000,260102
6937,2013-08-13,1290000,58000,1244000,1290000,1242000,418589
6938,2013-08-12,1232000,2000,1230000,1248000,1225000,202812
6939,2013-08-09,1230000,13000,1229000,1241000,1220000,241604
6920,2013-08-08,1217000,5000,1213000,1235000,1213000,358216
6921,2013-08-07,1222000,32000,1237000,1240000,1222000,315562
6922,2013-08-06,1254000,20000,1245000,1272000,1245000,289874
6923,2013-08-05,1274000,12000,1283000,1283000,1274000,161597
6924,2013-08-02,1286000,6000,1293000,1300000,1282000,224827
6925,2013-08-01,1280000,0,1285000,1288000,1274000,181178
6926,2013-07-31,1280000,10000,1280000,1290000,1279000,254710
6927,2013-07-30,1290000,7000,1277000,1295000,1277000,188507
6928,2013-07-29,1283000,20000,1291000,1300000,1279000,236437
6929,2013-07-26,1303000,12000,1314000,1319000,1299000,272391
6910,2013-07-25,1315000,0,1317000,1322000,1308000,169913
6911,2013-07-24,1315000,8000,1307000,1317000,1295000,175453
6912,2013-07-23,1307000,34000,1273000,1307000,1272000,238978
6913,2013-07-22,1273000,0,1280000,1289000,1265000,207023
6914,2013-07-19,1273000,19000,1288000,1295000,1264000,325426
6915,2013-07-18,1292000,28000,1325000,1325000,1292000,314084
6916,2013-07-17,1320000,22000,1301000,1330000,1286000,246046
6917,2013-07-16,1298000,15000,1318000,1321000,1290000,186019
6918,2013-07-15,1313000,1000,1315000,1319000,1285000,192592
6919,2013-07-12,1312000,0,1320000,1324000,1301000,227826
6900,2013-07-11,1312000,64000,1251000,1312000,1251000,415767
6901,2013-07-10,1248000,11000,1245000,1252000,1237000,346113
6902,2013-07-09,1237000,11000,1230000,1250000,1229000,393899
6903,2013-07-08,1226000,41000,1250000,1258000,1209000,529603
6904,2013-07-05,1267000,50000,1286000,1315000,1260000,607656
6905,2013-07-04,1317000,16000,1302000,1317000,1296000,180853
6906,2013-07-03,1301000,34000,1334000,1339000,1295000,256441
6907,2013-07-02,1335000,9000,1340000,1352000,1330000,204289
6908,2013-07-01,1326000,16000,1334000,1346000,1322000,256519
6909,2013-06-28,1342000,3000,1350000,1350000,1329000,419225
6890,2013-06-27,1339000,78000,1295000,1344000,1286000,515123
6891,2013-06-26,1261000,36000,1301000,1305000,1245000,635024
6892,2013-06-25,1297000,16000,1301000,1318000,1288000,415499
6893,2013-06-24,1313000,12000,1350000,1350000,1313000,316958
6894,2013-06-21,1325000,4000,1294000,1333000,1290000,553556
6895,2013-06-20,1329000,40000,1343000,1348000,1326000,356359
6896,2013-06-19,1369000,18000,1382000,1385000,1364000,205405
6897,2013-06-18,1387000,21000,1368000,1387000,1360000,220861
6898,2013-06-17,1366000,3000,1370000,1378000,1365000,235169
6899,2013-06-14,1369000,12000,1365000,1377000,1357000,351167
6880,2013-06-13,1357000,28000,1380000,1397000,1357000,670197
6881,2013-06-12,1385000,4000,1378000,1403000,1362000,457753
6882,2013-06-11,1389000,36000,1411000,1419000,1378000,692260
6883,2013-06-10,1425000,2000,1420000,1443000,1414000,533554
6884,2013-06-07,1427000,94000,1475000,1485000,1424000,1085816
6885,2013-06-05,1521000,19000,1549000,1553000,1521000,271813
6886,2013-06-04,1540000,8000,1533000,1542000,1521000,169932
6887,2013-06-03,1532000,6000,1536000,1559000,1528000,206189
6888,2013-05-31,1538000,6000,1546000,1559000,1537000,360501
6889,2013-05-30,1544000,32000,1518000,1549000,1512000,455560
6870,2013-05-29,1512000,28000,1484000,1523000,1483000,295211
6871,2013-05-28,1484000,5000,1481000,1496000,1481000,231761
6872,2013-05-27,1489000,3000,1490000,1499000,1487000,122928
6873,2013-05-24,1486000,2000,1487000,1494000,1472000,203812
6874,2013-05-23,1484000,25000,1492000,1502000,1484000,239883
6875,2013-05-22,1509000,17000,1504000,1510000,1491000,198462
6876,2013-05-21,1492000,5000,1510000,1510000,1485000,232008
6877,2013-05-20,1497000,11000,1502000,1512000,1496000,245777
6878,2013-05-16,1508000,8000,1501000,1514000,1500000,293151
6879,2013-05-15,1500000,0,1485000,1500000,1484000,211896
6860,2013-05-14,1500000,23000,1487000,1500000,1483000,180053
6861,2013-05-13,1477000,1000,1471000,1480000,1462000,175002
6862,2013-05-10,1476000,39000,1514000,1514000,1476000,235897
6863,2013-05-09,1515000,27000,1490000,1520000,1489000,216123
6864,2013-05-08,1488000,5000,1493000,1498000,1479000,298439
6865,2013-05-07,1493000,21000,1508000,1508000,1491000,228690
6866,2013-05-06,1514000,21000,1540000,1540000,1512000,173086
6867,2013-05-03,1535000,7000,1535000,1537000,1521000,131181
6868,2013-05-02,1528000,8000,1526000,1532000,1517000,200979
6869,2013-04-30,1520000,39000,1490000,1530000,1488000,374100
