,date,close,diff,open,high,low,volume
4882,2005-07-19,21950,400,21250,21950,21100,8065981
4883,2005-07-18,21550,150,21650,21900,21450,4848270
4884,2005-07-15,21700,350,22050,22250,21450,8664371
4865,2005-07-14,22050,1700,21100,22250,21100,19239200
4866,2005-07-13,20350,400,19950,20400,19550,9169434
4867,2005-07-12,19950,900,21550,22050,19900,17115242
4868,2005-07-11,20850,2000,19700,21300,19500,15923941
4869,2005-07-08,18850,700,18200,19700,18100,10263328
4870,2005-07-07,18150,50,17950,18250,17900,3002300
4871,2005-07-06,18100,400,18150,18300,17800,4458452
4872,2005-07-05,17700,0,17800,18100,17650,3047359
4873,2005-07-04,17700,700,17100,18050,17100,6595574
4874,2005-07-01,17000,0,16900,17100,16700,2529705
4855,2005-06-30,17000,250,16600,17050,16600,2749534
4856,2005-06-29,16750,350,16600,16900,16600,4114960
4857,2005-06-28,16400,150,16100,16600,15950,6179799
4858,2005-06-27,16550,650,16850,16950,16550,4018301
4859,2005-06-24,17200,200,17100,17300,16800,4143539
4860,2005-06-23,17400,250,17200,17600,17200,4056447
4861,2005-06-22,17150,0,17150,17450,16950,4865601
4862,2005-06-21,17150,250,17400,17550,17050,3392457
4863,2005-06-20,17400,0,17700,17750,17100,4909073
4864,2005-06-17,17400,1050,16500,17650,16450,11627957
4845,2005-06-16,16350,250,16100,16450,16050,3643647
4846,2005-06-15,16100,400,15700,16200,15700,5109789
4847,2005-06-14,15700,50,15500,16000,15500,4954836
4848,2005-06-13,15650,450,16050,16200,15600,3836949
4849,2005-06-10,16100,150,16100,16650,16100,6551650
4850,2005-06-09,15950,200,15550,15950,15550,4587860
4851,2005-06-08,15750,400,15100,15750,15100,5870450
4852,2005-06-07,15350,650,15850,15900,15350,6712541
4853,2005-06-03,16000,100,15950,16100,15850,4275637
4854,2005-06-02,15900,250,15900,16050,15650,4755367
4835,2005-06-01,15650,250,15750,16050,15650,4286551
4836,2005-05-31,15900,150,15600,15950,15500,4529486
4837,2005-05-30,15750,350,15450,15800,15250,4764602
4838,2005-05-27,15400,700,15100,15400,14900,7887108
4839,2005-05-26,14700,150,14950,15050,14550,3363209
4840,2005-05-25,14850,100,15100,15300,14750,5750205
4841,2005-05-24,14950,350,14800,15100,14800,5135215
4842,2005-05-23,14600,50,14600,14800,14500,2602778
4843,2005-05-20,14550,200,14350,14800,14300,5725554
4844,2005-05-19,14350,200,14400,14550,14300,4610146
4825,2005-05-18,14150,100,14250,14550,14150,4197496
4826,2005-05-17,14050,350,14650,14700,14000,4800991
4827,2005-05-16,14400,100,14700,14800,14350,5270731
4828,2005-05-13,14500,600,13900,14500,13750,7941900
4829,2005-05-12,13900,600,13450,14050,13450,6859220
4830,2005-05-11,13300,200,13350,13500,13200,2585868
4831,2005-05-10,13500,200,13700,13950,13400,4755393
4832,2005-05-09,13700,500,13300,13700,13250,7145025
4833,2005-05-06,13200,700,12700,13400,12650,7916641
4834,2005-05-04,12500,300,12400,12750,12350,8052235
4815,2005-05-03,12200,50,12150,12550,12150,4164470
4816,2005-05-02,12150,50,12250,12300,12050,2733984
4817,2005-04-29,12100,50,12000,12250,11950,3089715
4818,2005-04-28,12150,150,12350,12600,12150,4353393
4819,2005-04-27,12300,150,12200,12450,12150,4965302
4820,2005-04-26,12450,350,12800,13000,12450,4159874
4821,2005-04-25,12800,200,12900,13100,12750,3190542
4822,2005-04-22,13000,150,13400,13450,12950,6334584
4823,2005-04-21,13150,600,12300,13450,12100,12593947
4824,2005-04-20,12550,50,12700,12900,12550,3925374
4805,2005-04-19,12600,200,12650,12700,12500,3123988
4806,2005-04-18,12400,600,12650,13000,12400,4244411
4807,2005-04-15,13000,450,13350,13450,12950,4188338
4808,2005-04-14,13450,50,13400,13650,13250,3768531
4809,2005-04-13,13500,350,13950,14050,13350,3899687
4810,2005-04-12,13850,250,13550,14050,13550,4011393
4811,2005-04-11,13600,100,13500,13750,13500,2189927
4812,2005-04-08,13700,150,14000,14100,13650,3656938
4813,2005-04-07,13850,250,14050,14150,13800,3695507
4814,2005-04-06,14100,200,14100,14200,13800,4690893
4795,2005-04-04,13900,250,13750,14050,13650,6082435
4796,2005-04-01,13650,600,13000,13700,12950,6645326
4797,2005-03-31,13050,100,13350,13350,13000,3588095
4798,2005-03-30,12950,250,12600,12950,12500,3255052
4799,2005-03-29,12700,300,13000,13050,12650,3591025
4800,2005-03-28,13000,100,12900,13200,12900,3352872
4801,2005-03-25,12900,200,12750,12900,12700,3320158
4802,2005-03-24,12700,300,13200,13250,12600,5353797
4803,2005-03-23,13000,400,13300,13450,12950,4250820
4804,2005-03-22,13400,250,13150,13500,13150,4361034
4785,2005-03-21,13150,300,12850,13250,12750,4546555
4786,2005-03-18,12850,150,12850,13200,12750,4176678
4787,2005-03-17,13000,400,13100,13300,12900,4893958
4788,2005-03-16,13400,100,13100,13600,13050,5830633
4789,2005-03-15,13300,550,13950,14050,13250,5638852
4790,2005-03-14,13850,300,14000,14050,13800,3230919
4791,2005-03-11,14150,500,13850,14150,13850,6256097
4792,2005-03-10,13650,250,13350,13850,13350,8810717
4793,2005-03-09,13400,150,13350,13550,13250,6491479
4794,2005-03-08,13550,350,13950,14100,13500,7855744
4775,2005-03-07,13900,0,14000,14300,13800,8331839
4776,2005-03-04,13900,500,14150,14300,13850,10935514
4777,2005-03-03,14400,700,14700,14950,14150,16321988
4778,2005-03-02,15100,50,15150,15300,14600,12711077
4779,2005-02-28,15050,0,15400,15500,14900,8472469
4780,2005-02-25,15050,200,15200,15600,14900,11702283
4781,2005-02-24,14850,550,14500,15150,14500,10619376
4782,2005-02-23,14300,900,14700,14950,14150,12391623
4783,2005-02-22,15200,1000,16050,16200,14950,13314101
4784,2005-02-21,16200,550,15800,16350,15350,15827961
4765,2005-02-18,15650,100,15500,15850,15350,7473877
4766,2005-02-17,15750,250,15500,16050,15200,9550228
4767,2005-02-16,15500,450,15300,16350,15250,16899507
4768,2005-02-15,15050,50,15200,15300,14800,11197370
4769,2005-02-14,15000,1600,13850,15350,13800,24691789
4770,2005-02-11,13400,100,13200,13450,13100,4810612
4771,2005-02-07,13300,600,13000,13350,12950,7825531
4772,2005-02-04,12700,200,12850,12950,12650,3954698
4773,2005-02-03,12900,100,12900,13200,12850,4090593
4774,2005-02-02,13000,200,12950,13350,12800,6939785
4755,2005-02-01,12800,200,13050,13200,12700,4875468
4756,2005-01-31,13000,400,12650,13000,12600,6479382
4757,2005-01-28,12600,50,12650,12700,12450,3172729
4758,2005-01-27,12650,200,13000,13150,12450,5654243
4759,2005-01-26,12850,500,12450,12850,12350,6499786
4760,2005-01-25,12350,350,12550,12650,12300,4852477
4761,2005-01-24,12700,0,12600,12900,12600,4443459
4762,2005-01-21,12700,200,12800,12950,12600,5983961
4763,2005-01-20,12900,250,12950,13150,12900,4697548
4764,2005-01-19,13150,200,13050,13250,12950,7000266
4745,2005-01-18,12950,50,13100,13200,12850,8010582
4746,2005-01-17,13000,750,12650,13200,12550,17250441
4747,2005-01-14,12250,200,11750,12450,11750,14656018
4748,2005-01-13,12050,250,11800,12050,11700,6268104
4749,2005-01-12,11800,300,12300,12350,11700,7182158
4750,2005-01-11,12100,400,12500,12800,11950,14434038
4751,2005-01-10,12500,800,11800,12500,11600,8737587
4752,2005-01-07,11700,200,12000,12100,11500,4783719
4753,2005-01-06,11900,50,11700,12300,11600,9309124
4754,2005-01-05,11850,100,11600,11850,11500,4775735
4735,2005-01-04,11750,150,11550,11800,11350,5562528
4736,2005-01-03,11600,50,11800,11800,11550,3120279
4737,2004-12-30,11650,450,11200,11650,11200,5351629
4738,2004-12-29,11200,600,10750,11250,10700,5300836
4739,2004-12-28,10600,300,10800,10850,10600,5121029
4740,2004-12-27,10900,100,11000,11100,10850,3830431
4741,2004-12-24,11000,0,11000,11150,10900,5268707
4742,2004-12-23,11000,400,11500,11550,10950,4455417
4743,2004-12-22,11400,150,11750,11850,11400,5529365
4744,2004-12-21,11550,50,11450,11750,11350,5263930
4725,2004-12-20,11500,100,11600,11700,11350,4980384
4726,2004-12-17,11600,50,11650,11700,11300,5115524
4727,2004-12-16,11550,50,11750,11950,11550,8526250
4728,2004-12-15,11600,600,11200,11600,11100,9537127
4729,2004-12-14,11000,600,10500,11050,10450,10651761
4730,2004-12-13,10400,50,10400,10500,10300,3848125
4731,2004-12-10,10350,200,10700,10750,10300,4047545
4732,2004-12-09,10550,100,10500,10750,10450,6169988
4733,2004-12-08,10450,50,10350,10800,10350,6856367
4734,2004-12-07,10500,100,10350,10700,10350,4236413
4715,2004-12-06,10400,250,10500,10650,10300,4944241
4716,2004-12-03,10650,300,10600,10800,10450,7566680
4717,2004-12-02,10350,350,10950,10950,10300,8306103
4718,2004-12-01,10700,350,10250,10750,10100,9858766
4719,2004-11-30,10350,200,10100,10450,10050,11883963
4720,2004-11-29,10150,400,10550,10600,10050,9801873
4721,2004-11-26,10550,500,10900,11100,10550,12298312
4722,2004-11-25,11050,350,11400,11550,10950,9489792
4723,2004-11-24,11400,200,11550,11600,11250,5755109
4724,2004-11-23,11600,100,11750,11850,11550,5201354
4705,2004-11-22,11700,450,11850,11950,11550,5791813
4706,2004-11-19,12150,250,12100,12150,11800,4945323
4707,2004-11-18,11900,600,12700,12800,11900,8709118
4708,2004-11-17,12500,250,12400,12700,12350,6961530
4709,2004-11-16,12250,50,12400,12500,12200,5927956
4710,2004-11-15,12200,300,12100,12350,11950,7807995
4711,2004-11-12,11900,150,12100,12150,11800,6957282
4712,2004-11-11,11750,250,11800,12100,11750,8806774
4713,2004-11-10,12000,550,11500,12100,11500,14203616
4714,2004-11-09,11450,200,11500,11700,11200,7766787
4695,2004-11-08,11650,400,12100,12200,11600,8454828
4696,2004-11-05,12050,150,12400,12500,12000,7483559
4697,2004-11-04,12200,550,12500,12550,12200,6917630
